0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
52.1Mbits/sec,50.6Mbits/sec,47.4Mbits/sec,46.4Mbits/sec,46.9Mbits/sec,46.9Mbits/sec,47.4Mbits/sec,48.0Mbits/sec,51.6Mbits/sec,43.3Mbits/sec
6.01Mbits/sec,3.65Mbits/sec,4.17Mbits/sec,3.13Mbits/sec,9.38Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec
49.3Mbits/sec,52.7Mbits/sec,43.3Mbits/sec,47.4Mbits/sec,53.2Mbits/sec,45.9Mbits/sec,51.1Mbits/sec,44.8Mbits/sec,45.3Mbits/sec,56.8Mbits/sec
2.97Mbits/sec,2.09Mbits/sec,4.17Mbits/sec,2.61Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec
6.84Mbits/sec,7.30Mbits/sec,9.90Mbits/sec,14.6Mbits/sec,10.4Mbits/sec,9.90Mbits/sec,13.0Mbits/sec,14.1Mbits/sec,14.6Mbits/sec,10.4Mbits/sec
16.2Mbits/sec,18.2Mbits/sec,20.9Mbits/sec,28.1Mbits/sec,28.1Mbits/sec,42.2Mbits/sec,45.4Mbits/sec,50.6Mbits/sec,48.0Mbits/sec,48.5Mbits/sec
5.36Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,7.82Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,3.13Mbits/sec,4.69Mbits/sec
37.4Mbits/sec,37.5Mbits/sec,49.0Mbits/sec,45.9Mbits/sec,50.0Mbits/sec,49.0Mbits/sec,45.3Mbits/sec,48.5Mbits/sec,51.1Mbits/sec,48.5Mbits/sec
4.30Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,3.13Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,1.04Mbits/sec,2.09Mbits/sec
3.97Mbits/sec,1.04Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,4.69Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
16.7Mbits/sec,18.8Mbits/sec,26.1Mbits/sec,29.7Mbits/sec,36.5Mbits/sec,30.8Mbits/sec,48.0Mbits/sec,50.6Mbits/sec,50.0Mbits/sec,44.8Mbits/sec
19.2Mbits/sec,22.9Mbits/sec,27.6Mbits/sec,31.8Mbits/sec,39.1Mbits/sec,24.0Mbits/sec,6.26Mbits/sec,3.13Mbits/sec,6.26Mbits/sec,6.26Mbits/sec
4.98Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,7.30Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec
51.6Mbits/sec,46.9Mbits/sec,47.4Mbits/sec,48.5Mbits/sec,50.6Mbits/sec,47.4Mbits/sec,46.4Mbits/sec,46.9Mbits/sec,48.0Mbits/sec,46.9Mbits/sec
2.87Mbits/sec,2.08Mbits/sec,4.69Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
16.9Mbits/sec,15.6Mbits/sec,19.3Mbits/sec,24.5Mbits/sec,32.3Mbits/sec,35.5Mbits/sec,47.4Mbits/sec,44.8Mbits/sec,48.5Mbits/sec,48.0Mbits/sec
