file,0.00-1.02,1.02-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.00,1.00-2.00,0.00-1.03,1.03-2.00,0.00-2.35,2.35-3.00,0.00-1.04,1.04-2.00,0.00-2.52,2.52-3.00,0.00-15.94,0.00-1.01,1.01-2.00,0.00-2.44,2.44-3.00,0.00-2.36,2.36-3.00,0.00-2.49,2.49-3.00,0.00-6.29,6.29-7.00,0.00-2.34,2.34-3.00,0.00-2.45,2.45-3.00
iperf3_result_20231019172229.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,604Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019171734.txt,772Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172349.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,604Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019172639.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,762Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171442.txt,,,0.00bits/sec,1.27Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,610Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173127.txt,,,21.4Mbits/sec,13.0Mbits/sec,26.1Mbits/sec,9.38Mbits/sec,0.00bits/sec,9.69Mbits/sec,9.08Mbits/sec,18.8Mbits/sec,21.2Mbits/sec,18.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172007.txt,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,605Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172012.txt,,,,,,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,134Kbits/sec,0.00bits/sec,,,,
iperf3_result_20231019172210.txt,,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,342Kbits/sec,0.00bits/sec,,
iperf3_result_20231019171651.txt,610Kbits/sec,0.00bits/sec,0.00bits/sec,1.02Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
