file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-12.08,11.00-11.31,12.00-13.00,13.00-13.13,11.00-11.68,11.00-11.13,11.00-11.23,11.00-11.67,11.00-11.75,13.00-14.00,14.00-15.00,15.00-16.00,16.00-17.00,17.00-17.80,12.00-12.09,11.00-11.32,13.00-13.41,11.00-11.14
iperf3_result_20231019162251.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.08,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019160256.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.07,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155010.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,10.72,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162119.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.08,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162336.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,>= 11.00,200Mbits/sec,201Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019155820.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.16,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019160455.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.07,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162109.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,10.06,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162323.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,10.52,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162241.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.08,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019160443.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,>= 11.00,,,200Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019160127.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.12,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019160245.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,10.34,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155528.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,>= 11.00,200Mbits/sec,,,200Mbits/sec,200Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019155716.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,10.97,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162150.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.08,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155703.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,>= 11.00,,,,,,200Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019155515.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,>= 11.00,,,,,,,201Mbits/sec,,,,,,,,,,,,
iperf3_result_20231019160433.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,10.09,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019162231.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,10.08,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155648.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,>= 11.00,,,,,,,,200Mbits/sec,,,,,,,,,,,
