file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time
iperf3_result_20231019174300.txt,252KBytes,445KBytes,467KBytes,495KBytes,525KBytes,550KBytes,581KBytes,608KBytes,636KBytes,636KBytes,,
iperf3_result_20231019174700.txt,352KBytes,462KBytes,499KBytes,522KBytes,550KBytes,602KBytes,658KBytes,764KBytes,839KBytes,922KBytes,1.25MBytes,10.71
iperf3_result_20231019174310.txt,205KBytes,378KBytes,434KBytes,474KBytes,540KBytes,566KBytes,595KBytes,624KBytes,659KBytes,659KBytes,0.00Bytes,10.12
iperf3_result_20231019174107.txt,232KBytes,414KBytes,523KBytes,581KBytes,581KBytes,618KBytes,648KBytes,648KBytes,648KBytes,648KBytes,,
iperf3_result_20231019174649.txt,255KBytes,346KBytes,443KBytes,486KBytes,535KBytes,619KBytes,663KBytes,710KBytes,782KBytes,850KBytes,0.00Bytes,10.52
iperf3_result_20231019173913.txt,426KBytes,475KBytes,547KBytes,547KBytes,574KBytes,660KBytes,716KBytes,716KBytes,755KBytes,755KBytes,1.25MBytes,10.06
iperf3_result_20231019174138.txt,410KBytes,481KBytes,509KBytes,536KBytes,621KBytes,621KBytes,621KBytes,621KBytes,621KBytes,621KBytes,,
iperf3_result_20231019174845.txt,230KBytes,395KBytes,477KBytes,484KBytes,510KBytes,584KBytes,652KBytes,751KBytes,826KBytes,887KBytes,,
iperf3_result_20231019174514.txt,311KBytes,467KBytes,578KBytes,578KBytes,578KBytes,617KBytes,652KBytes,652KBytes,652KBytes,721KBytes,1.25MBytes,10.06
iperf3_result_20231019174229.txt,221KBytes,368KBytes,489KBytes,515KBytes,547KBytes,571KBytes,571KBytes,571KBytes,600KBytes,600KBytes,,
iperf3_result_20231019174639.txt,390KBytes,512KBytes,551KBytes,551KBytes,551KBytes,636KBytes,669KBytes,700KBytes,737KBytes,775KBytes,0.00Bytes,10.22
iperf3_result_20231019174412.txt,325KBytes,485KBytes,564KBytes,629KBytes,659KBytes,659KBytes,732KBytes,732KBytes,732KBytes,839KBytes,1.25MBytes,10.05
iperf3_result_20231019174823.txt,208KBytes,419KBytes,488KBytes,518KBytes,547KBytes,622KBytes,728KBytes,757KBytes,850KBytes,936KBytes,1.25MBytes,10.67
iperf3_result_20231019173751.txt,363KBytes,506KBytes,601KBytes,676KBytes,676KBytes,747KBytes,789KBytes,833KBytes,833KBytes,875KBytes,,
iperf3_result_20231019174606.txt,214KBytes,383KBytes,430KBytes,502KBytes,591KBytes,677KBytes,728KBytes,788KBytes,853KBytes,963KBytes,1.25MBytes,10.52
iperf3_result_20231019174148.txt,187KBytes,250KBytes,322KBytes,385KBytes,488KBytes,516KBytes,594KBytes,594KBytes,631KBytes,631KBytes,,
iperf3_result_20231019174834.txt,236KBytes,407KBytes,496KBytes,595KBytes,595KBytes,628KBytes,696KBytes,779KBytes,829KBytes,986KBytes,1.25MBytes,10.41
iperf3_result_20231019173801.txt,334KBytes,477KBytes,594KBytes,666KBytes,666KBytes,706KBytes,742KBytes,823KBytes,823KBytes,823KBytes,,
iperf3_result_20231019174015.txt,209KBytes,380KBytes,481KBytes,529KBytes,583KBytes,583KBytes,583KBytes,689KBytes,689KBytes,727KBytes,,
iperf3_result_20231019173811.txt,440KBytes,540KBytes,602KBytes,704KBytes,738KBytes,810KBytes,810KBytes,810KBytes,854KBytes,909KBytes,1.25MBytes,10.04
iperf3_result_20231019174617.txt,409KBytes,475KBytes,498KBytes,550KBytes,576KBytes,649KBytes,721KBytes,813KBytes,904KBytes,970KBytes,0.00Bytes,10.57
iperf3_result_20231019174158.txt,216KBytes,348KBytes,431KBytes,526KBytes,591KBytes,624KBytes,624KBytes,624KBytes,624KBytes,624KBytes,,
iperf3_result_20231019174004.txt,279KBytes,437KBytes,478KBytes,554KBytes,595KBytes,595KBytes,598KBytes,656KBytes,656KBytes,656KBytes,,
iperf3_result_20231019174628.txt,287KBytes,454KBytes,547KBytes,583KBytes,583KBytes,645KBytes,680KBytes,737KBytes,798KBytes,860KBytes,0.00Bytes,10.54
iperf3_result_20231019174402.txt,222KBytes,423KBytes,499KBytes,544KBytes,597KBytes,597KBytes,618KBytes,663KBytes,680KBytes,723KBytes,,
iperf3_result_20231019173740.txt,255KBytes,468KBytes,652KBytes,690KBytes,724KBytes,783KBytes,822KBytes,916KBytes,987KBytes,987KBytes,,
