file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time
iperf3_result_20231019183613.txt,226KBytes,245KBytes,243KBytes,252KBytes,361KBytes,397KBytes,243KBytes,243KBytes,255KBytes,242KBytes,12.7KBytes,10.06
iperf3_result_20231019181010.txt,437KBytes,468KBytes,486KBytes,537KBytes,841KBytes,469KBytes,468KBytes,481KBytes,471KBytes,472KBytes,22.6KBytes,10.04
iperf3_result_20231019180326.txt,2.30MBytes,3.07MBytes,3.27MBytes,4.17MBytes,4.84MBytes,5.48MBytes,5.56MBytes,5.74MBytes,5.71MBytes,5.71MBytes,240KBytes,10.05
iperf3_result_20231019183808.txt,221KBytes,242KBytes,252KBytes,526KBytes,246KBytes,246KBytes,243KBytes,249KBytes,249KBytes,249KBytes,11.3KBytes,10.06
iperf3_result_20231019180642.txt,580KBytes,1.00MBytes,1.40MBytes,1.92MBytes,2.27MBytes,2.80MBytes,3.40MBytes,4.04MBytes,4.59MBytes,5.22MBytes,397KBytes,10.07
iperf3_result_20231019180939.txt,419KBytes,481KBytes,465KBytes,474KBytes,897KBytes,481KBytes,468KBytes,481KBytes,468KBytes,481KBytes,17.0KBytes,10.05
iperf3_result_20231019180509.txt,4.19MBytes,5.81MBytes,5.70MBytes,5.70MBytes,5.67MBytes,5.60MBytes,5.90MBytes,5.59MBytes,5.76MBytes,5.67MBytes,296KBytes,10.05
iperf3_result_20231019180723.txt,670KBytes,1.09MBytes,1.57MBytes,2.02MBytes,2.47MBytes,2.81MBytes,3.74MBytes,4.63MBytes,5.38MBytes,5.75MBytes,356KBytes,10.07
iperf3_result_20231019183942.txt,223KBytes,246KBytes,539KBytes,245KBytes,243KBytes,249KBytes,247KBytes,249KBytes,246KBytes,246KBytes,14.1KBytes,10.05
iperf3_result_20231019180907.txt,430KBytes,481KBytes,462KBytes,481KBytes,897KBytes,474KBytes,481KBytes,474KBytes,468KBytes,481KBytes,17.0KBytes,10.03
iperf3_result_20231019180734.txt,580KBytes,1.03MBytes,1.50MBytes,1.89MBytes,2.39MBytes,2.87MBytes,3.84MBytes,4.71MBytes,5.22MBytes,5.85MBytes,359KBytes,10.07
iperf3_result_20231019181204.txt,246KBytes,245KBytes,247KBytes,331KBytes,242KBytes,249KBytes,249KBytes,243KBytes,249KBytes,243KBytes,17.0KBytes,10.04
iperf3_result_20231019180357.txt,4.18MBytes,5.67MBytes,5.73MBytes,5.57MBytes,5.73MBytes,5.81MBytes,5.61MBytes,5.74MBytes,5.74MBytes,5.67MBytes,294KBytes,10.05
iperf3_result_20231019181101.txt,269KBytes,249KBytes,243KBytes,313KBytes,266KBytes,249KBytes,249KBytes,243KBytes,249KBytes,247KBytes,12.7KBytes,10.04
iperf3_result_20231019183716.txt,223KBytes,247KBytes,243KBytes,320KBytes,618KBytes,246KBytes,246KBytes,255KBytes,240KBytes,249KBytes,14.1KBytes,10.06
iperf3_result_20231019183931.txt,218KBytes,245KBytes,472KBytes,246KBytes,245KBytes,245KBytes,253KBytes,243KBytes,249KBytes,249KBytes,11.3KBytes,10.05
iperf3_result_20231019180550.txt,4.63MBytes,5.73MBytes,5.66MBytes,5.71MBytes,5.76MBytes,5.70MBytes,5.59MBytes,5.76MBytes,5.67MBytes,5.67MBytes,321KBytes,10.05
iperf3_result_20231019180949.txt,414KBytes,475KBytes,477KBytes,472KBytes,880KBytes,474KBytes,481KBytes,474KBytes,468KBytes,475KBytes,17.0KBytes,10.06
iperf3_result_20231019180632.txt,4.34MBytes,5.69MBytes,5.77MBytes,5.72MBytes,5.73MBytes,5.64MBytes,5.69MBytes,5.75MBytes,5.60MBytes,5.70MBytes,373KBytes,10.06
iperf3_result_20231019183850.txt,221KBytes,245KBytes,373KBytes,368KBytes,249KBytes,242KBytes,249KBytes,243KBytes,249KBytes,255KBytes,11.3KBytes,10.08
iperf3_result_20231019180418.txt,629KBytes,771KBytes,1.21MBytes,1.66MBytes,1.21MBytes,1.16MBytes,1.41MBytes,1.84MBytes,1.61MBytes,1.16MBytes,102KBytes,10.05
iperf3_result_20231019180744.txt,1.37MBytes,2.13MBytes,2.47MBytes,3.12MBytes,3.58MBytes,4.57MBytes,5.61MBytes,5.63MBytes,5.70MBytes,5.66MBytes,475KBytes,10.08
iperf3_result_20231019180816.txt,420KBytes,474KBytes,486KBytes,468KBytes,469KBytes,858KBytes,468KBytes,486KBytes,468KBytes,469KBytes,17.0KBytes,10.03
iperf3_result_20231019180755.txt,3.49MBytes,4.62MBytes,5.52MBytes,5.58MBytes,5.71MBytes,5.73MBytes,5.68MBytes,5.69MBytes,5.74MBytes,5.67MBytes,276KBytes,10.05
iperf3_result_20231019181112.txt,269KBytes,240KBytes,249KBytes,313KBytes,290KBytes,238KBytes,247KBytes,249KBytes,249KBytes,243KBytes,17.0KBytes,10.04
iperf3_result_20231019183705.txt,223KBytes,243KBytes,249KBytes,249KBytes,506KBytes,243KBytes,255KBytes,243KBytes,249KBytes,242KBytes,18.4KBytes,10.04
iperf3_result_20231019180622.txt,1.39MBytes,2.39MBytes,2.81MBytes,3.35MBytes,4.19MBytes,4.03MBytes,5.33MBytes,5.73MBytes,5.73MBytes,5.72MBytes,409KBytes,10.06
iperf3_result_20231019180805.txt,1.87MBytes,2.81MBytes,2.95MBytes,3.81MBytes,4.53MBytes,2.73MBytes,666KBytes,675KBytes,675KBytes,670KBytes,33.9KBytes,10.04
iperf3_result_20231019180959.txt,426KBytes,474KBytes,485KBytes,469KBytes,802KBytes,474KBytes,481KBytes,474KBytes,475KBytes,474KBytes,17.0KBytes,10.04
iperf3_result_20231019180540.txt,4.45MBytes,5.76MBytes,5.62MBytes,5.72MBytes,5.70MBytes,5.67MBytes,5.70MBytes,5.75MBytes,5.69MBytes,5.67MBytes,328KBytes,10.06
iperf3_result_20231019183921.txt,221KBytes,247KBytes,472KBytes,249KBytes,246KBytes,245KBytes,243KBytes,249KBytes,246KBytes,252KBytes,8.48KBytes,10.06
iperf3_result_20231019180347.txt,1.42MBytes,1.90MBytes,2.40MBytes,2.84MBytes,3.33MBytes,4.44MBytes,5.21MBytes,5.53MBytes,5.86MBytes,5.65MBytes,276KBytes,10.05
