file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019183648.txt,5.24MBytes,5.52MBytes,6.09MBytes,6.29MBytes,6.46MBytes,6.45MBytes,6.30MBytes,6.30MBytes,6.29MBytes,6.52MBytes,6.24MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183328.txt,4.32MBytes,5.38MBytes,5.84MBytes,3.88MBytes,5.80MBytes,5.94MBytes,6.08MBytes,5.96MBytes,6.20MBytes,5.98MBytes,5.99MBytes,>= 11.00,,,,,,69.3KBytes,,,,,,,,,,
iperf3_result_20231019183710.txt,5.89MBytes,6.39MBytes,6.40MBytes,5.10MBytes,6.23MBytes,6.29MBytes,6.24MBytes,5.91MBytes,6.41MBytes,6.34MBytes,6.08MBytes,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183507.txt,5.67MBytes,6.35MBytes,6.34MBytes,5.74MBytes,6.41MBytes,6.12MBytes,6.11MBytes,5.94MBytes,6.29MBytes,6.38MBytes,5.87MBytes,>= 11.00,,,,,,,389KBytes,,,,,,,,,
iperf3_result_20231019182745.txt,4.30MBytes,5.41MBytes,5.91MBytes,5.53MBytes,5.36MBytes,5.52MBytes,5.53MBytes,5.95MBytes,6.02MBytes,6.12MBytes,5.90MBytes,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019183659.txt,6.14MBytes,6.32MBytes,6.12MBytes,5.68MBytes,5.83MBytes,5.14MBytes,6.06MBytes,6.00MBytes,5.52MBytes,5.40MBytes,5.67MBytes,>= 11.00,,,,,,,,,,,,,,,,496KBytes
iperf3_result_20231019183115.txt,5.07MBytes,5.86MBytes,5.45MBytes,5.78MBytes,6.20MBytes,5.66MBytes,5.64MBytes,6.24MBytes,6.29MBytes,6.09MBytes,5.81MBytes,>= 11.00,301KBytes,,,,,,,,,,,,,,,
iperf3_result_20231019183317.txt,5.18MBytes,5.81MBytes,5.68MBytes,5.69MBytes,5.54MBytes,6.02MBytes,5.72MBytes,5.58MBytes,6.02MBytes,6.10MBytes,5.97MBytes,>= 11.00,,,,,,,,,,294KBytes,,,,,,
iperf3_result_20231019182627.txt,3.98MBytes,5.12MBytes,5.42MBytes,5.52MBytes,4.30MBytes,5.36MBytes,5.52MBytes,5.81MBytes,6.03MBytes,5.77MBytes,5.74MBytes,>= 11.00,,,,,,,,,,257KBytes,,,,,,
iperf3_result_20231019182424.txt,10.4MBytes,11.2MBytes,11.4MBytes,10.8MBytes,11.7MBytes,11.1MBytes,11.6MBytes,9.47MBytes,11.4MBytes,11.9MBytes,7.85MBytes,10.65,,,,,,,,,,,,,,,,
iperf3_result_20231019182829.txt,5.53MBytes,6.17MBytes,5.13MBytes,6.23MBytes,6.43MBytes,6.46MBytes,6.39MBytes,6.59MBytes,6.36MBytes,6.76MBytes,6.47MBytes,10.95,,,,,,,,,,,,,,,,
