file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019175805.txt,10.7MBytes,10.8MBytes,11.1MBytes,11.3MBytes,10.9MBytes,11.0MBytes,11.1MBytes,11.2MBytes,11.0MBytes,10.9MBytes,771KBytes,10.07
iperf3_result_20231019174229.txt,4.08MBytes,3.28MBytes,2.73MBytes,2.94MBytes,2.92MBytes,2.82MBytes,2.81MBytes,2.87MBytes,2.99MBytes,2.74MBytes,205KBytes,10.08
iperf3_result_20231019174639.txt,3.56MBytes,2.98MBytes,2.82MBytes,2.80MBytes,2.66MBytes,3.21MBytes,1.97MBytes,1.93MBytes,2.32MBytes,2.19MBytes,523KBytes,10.22
iperf3_result_20231019175724.txt,10.9MBytes,11.2MBytes,11.4MBytes,10.8MBytes,9.94MBytes,11.1MBytes,8.90MBytes,10.2MBytes,10.3MBytes,10.5MBytes,673KBytes,10.06
iperf3_result_20231019174412.txt,3.94MBytes,3.05MBytes,2.93MBytes,2.92MBytes,2.77MBytes,2.59MBytes,2.98MBytes,2.70MBytes,2.85MBytes,2.99MBytes,230KBytes,10.07
iperf3_result_20231019174823.txt,3.92MBytes,3.37MBytes,2.64MBytes,2.82MBytes,2.83MBytes,4.57MBytes,3.88MBytes,3.33MBytes,4.68MBytes,4.35MBytes,3.69MBytes,10.70
iperf3_result_20231019175650.txt,7.63MBytes,8.52MBytes,10.9MBytes,10.7MBytes,11.0MBytes,11.0MBytes,11.1MBytes,11.0MBytes,10.7MBytes,11.0MBytes,898KBytes,10.08
iperf3_result_20231019175120.txt,5.93MBytes,6.16MBytes,6.04MBytes,6.21MBytes,5.91MBytes,6.09MBytes,5.47MBytes,5.73MBytes,5.68MBytes,5.73MBytes,918KBytes,10.33
iperf3_result_20231019175322.txt,9.93MBytes,9.61MBytes,11.5MBytes,10.7MBytes,10.8MBytes,11.4MBytes,10.5MBytes,9.31MBytes,8.23MBytes,10.8MBytes,773KBytes,10.07
iperf3_result_20231019174606.txt,4.25MBytes,3.15MBytes,2.66MBytes,2.74MBytes,2.95MBytes,4.37MBytes,5.49MBytes,5.18MBytes,5.31MBytes,4.70MBytes,2.48MBytes,10.53
iperf3_result_20231019174148.txt,3.05MBytes,2.72MBytes,2.50MBytes,2.64MBytes,2.87MBytes,2.69MBytes,2.68MBytes,2.79MBytes,2.98MBytes,2.74MBytes,178KBytes,10.07
iperf3_result_20231019175242.txt,11.0MBytes,11.6MBytes,11.2MBytes,10.9MBytes,11.2MBytes,11.3MBytes,11.0MBytes,11.4MBytes,11.3MBytes,10.2MBytes,725KBytes,10.07
iperf3_result_20231019175519.txt,10.0MBytes,10.5MBytes,9.86MBytes,9.69MBytes,10.8MBytes,11.0MBytes,9.85MBytes,10.5MBytes,10.9MBytes,10.6MBytes,932KBytes,10.08
iperf3_result_20231019174834.txt,4.08MBytes,3.16MBytes,3.12MBytes,2.95MBytes,2.69MBytes,2.69MBytes,4.91MBytes,4.67MBytes,3.30MBytes,3.55MBytes,1.84MBytes,10.42
iperf3_result_20231019174015.txt,4.07MBytes,2.92MBytes,2.91MBytes,2.82MBytes,2.79MBytes,2.58MBytes,2.57MBytes,2.79MBytes,2.65MBytes,3.02MBytes,267KBytes,10.08
iperf3_result_20231019175131.txt,5.56MBytes,5.45MBytes,5.72MBytes,5.81MBytes,5.78MBytes,5.74MBytes,5.49MBytes,5.67MBytes,5.89MBytes,5.89MBytes,474KBytes,10.08
iperf3_result_20231019175333.txt,11.4MBytes,11.3MBytes,10.8MBytes,10.4MBytes,10.4MBytes,10.8MBytes,11.0MBytes,11.1MBytes,11.4MBytes,11.4MBytes,846KBytes,10.07
iperf3_result_20231019174005.txt,3.32MBytes,3.18MBytes,3.17MBytes,2.61MBytes,2.77MBytes,2.95MBytes,2.93MBytes,2.95MBytes,2.89MBytes,3.64MBytes,325KBytes,10.08
iperf3_result_20231019175509.txt,11.2MBytes,11.3MBytes,11.1MBytes,10.4MBytes,11.1MBytes,11.3MBytes,11.0MBytes,11.4MBytes,11.0MBytes,10.7MBytes,619KBytes,10.07
iperf3_result_20231019174617.txt,3.33MBytes,2.63MBytes,2.73MBytes,2.69MBytes,2.75MBytes,4.34MBytes,4.55MBytes,4.68MBytes,4.87MBytes,4.99MBytes,3.16MBytes,10.58
iperf3_result_20231019174158.txt,3.66MBytes,2.36MBytes,2.94MBytes,3.27MBytes,2.96MBytes,2.72MBytes,2.78MBytes,2.83MBytes,2.88MBytes,2.52MBytes,76.4KBytes,10.06
iperf3_result_20231019175252.txt,11.2MBytes,11.1MBytes,10.7MBytes,10.8MBytes,11.0MBytes,10.6MBytes,11.0MBytes,10.7MBytes,9.23MBytes,10.6MBytes,798KBytes,10.07
iperf3_result_20231019175640.txt,10.8MBytes,11.0MBytes,11.0MBytes,9.92MBytes,7.17MBytes,7.34MBytes,7.55MBytes,7.19MBytes,8.13MBytes,7.37MBytes,629KBytes,10.06
iperf3_result_20231019174628.txt,4.00MBytes,3.02MBytes,2.49MBytes,2.82MBytes,2.94MBytes,4.63MBytes,5.71MBytes,5.23MBytes,5.00MBytes,5.16MBytes,2.84MBytes,10.55
iperf3_result_20231019175734.txt,11.0MBytes,10.5MBytes,9.76MBytes,10.8MBytes,11.0MBytes,10.9MBytes,10.9MBytes,10.7MBytes,10.8MBytes,11.2MBytes,861KBytes,10.07
iperf3_result_20231019174402.txt,4.64MBytes,3.48MBytes,3.58MBytes,3.00MBytes,2.86MBytes,3.06MBytes,2.90MBytes,3.19MBytes,2.82MBytes,3.11MBytes,194KBytes,10.07
