file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.01,1.01-2.00
iperf3_result_20231019174514.txt,4.85MBytes,3.14MBytes,3.09MBytes,2.92MBytes,2.57MBytes,2.82MBytes,2.80MBytes,2.97MBytes,2.87MBytes,2.79MBytes,,
iperf3_result_20231019174003.txt,2.96MBytes,3.81MBytes,4.33MBytes,2.95MBytes,3.33MBytes,2.81MBytes,2.82MBytes,2.87MBytes,2.90MBytes,2.77MBytes,,
iperf3_result_20231019174639.txt,3.45MBytes,2.93MBytes,2.85MBytes,2.75MBytes,2.74MBytes,3.08MBytes,2.02MBytes,1.96MBytes,2.51MBytes,2.11MBytes,,
iperf3_result_20231019174412.txt,4.22MBytes,3.34MBytes,2.95MBytes,2.83MBytes,3.04MBytes,2.67MBytes,2.85MBytes,2.83MBytes,2.67MBytes,2.85MBytes,,
iperf3_result_20231019174823.txt,4.02MBytes,3.19MBytes,2.60MBytes,2.85MBytes,2.63MBytes,4.54MBytes,3.57MBytes,3.53MBytes,4.49MBytes,4.25MBytes,,
iperf3_result_20231019174228.txt,2.88MBytes,5.50MBytes,3.02MBytes,3.01MBytes,2.86MBytes,2.96MBytes,2.74MBytes,2.95MBytes,2.76MBytes,2.83MBytes,,
iperf3_result_20231019175120.txt,6.01MBytes,6.12MBytes,5.95MBytes,6.09MBytes,6.07MBytes,5.72MBytes,5.48MBytes,5.65MBytes,5.89MBytes,5.78MBytes,,
iperf3_result_20231019174606.txt,4.18MBytes,3.17MBytes,2.70MBytes,2.76MBytes,2.92MBytes,4.37MBytes,5.17MBytes,4.98MBytes,5.02MBytes,4.46MBytes,,
iperf3_result_20231019173627.txt,11.3MBytes,11.0MBytes,9.41MBytes,10.8MBytes,11.6MBytes,11.0MBytes,11.3MBytes,11.2MBytes,11.3MBytes,11.4MBytes,,
iperf3_result_20231019174834.txt,3.95MBytes,3.07MBytes,3.22MBytes,2.91MBytes,2.69MBytes,2.73MBytes,4.83MBytes,4.43MBytes,3.28MBytes,3.76MBytes,,
iperf3_result_20231019174217.txt,2.85MBytes,4.35MBytes,3.20MBytes,3.23MBytes,2.89MBytes,2.52MBytes,2.62MBytes,2.74MBytes,2.88MBytes,2.88MBytes,,
iperf3_result_20231019175131.txt,5.57MBytes,5.40MBytes,5.73MBytes,5.75MBytes,5.85MBytes,5.81MBytes,5.53MBytes,5.81MBytes,5.67MBytes,5.81MBytes,,
iperf3_result_20231019174207.txt,2.57MBytes,4.16MBytes,3.39MBytes,2.76MBytes,2.45MBytes,2.44MBytes,2.90MBytes,2.68MBytes,2.88MBytes,2.79MBytes,,
iperf3_result_20231019174617.txt,3.28MBytes,2.67MBytes,2.77MBytes,2.71MBytes,2.83MBytes,4.37MBytes,4.57MBytes,4.51MBytes,4.91MBytes,4.76MBytes,,
iperf3_result_20231019174401.txt,4.27MBytes,4.09MBytes,3.49MBytes,3.40MBytes,2.92MBytes,2.86MBytes,2.96MBytes,2.92MBytes,3.01MBytes,2.99MBytes,,
iperf3_result_20231019173637.txt,10.9MBytes,11.3MBytes,11.3MBytes,10.8MBytes,10.5MBytes,11.1MBytes,10.9MBytes,8.10MBytes,8.22MBytes,8.11MBytes,,
iperf3_result_20231019173557.txt,11.0MBytes,10.1MBytes,10.7MBytes,8.99MBytes,10.6MBytes,10.7MBytes,10.3MBytes,10.1MBytes,10.6MBytes,10.8MBytes,,
iperf3_result_20231019174238.txt,2.96MBytes,4.75MBytes,3.58MBytes,2.95MBytes,2.81MBytes,3.04MBytes,2.67MBytes,3.15MBytes,2.77MBytes,2.60MBytes,,
iperf3_result_20231019174628.txt,3.89MBytes,2.91MBytes,2.45MBytes,2.90MBytes,2.96MBytes,4.55MBytes,5.23MBytes,5.09MBytes,5.10MBytes,5.01MBytes,,
iperf3_result_20231019174013.txt,2.96MBytes,3.30MBytes,4.79MBytes,3.32MBytes,2.88MBytes,2.83MBytes,2.80MBytes,2.69MBytes,2.51MBytes,2.61MBytes,,
