file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.18,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.22,11.00-11.02,11.00-11.07,11.00-11.24,11.00-11.12,11.00-11.10,11.00-12.00,12.00-12.54,11.00-11.17,11.00-11.77,11.00-11.01,11.00-11.15,11.00-11.11,11.00-11.13,11.00-11.14,11.00-11.08,11.00-11.21,11.00-11.03,11.00-11.16,11.00-11.23,11.00-11.20,11.00-11.09,11.00-11.48,11.00-11.06,11.00-11.19,11.00-11.26,11.00-11.32,11.00-11.34,11.00-11.52
iperf3_result_20231019154553.txt,35.4Mbits/sec,43.2Mbits/sec,40.8Mbits/sec,45.9Mbits/sec,53.4Mbits/sec,49.9Mbits/sec,52.5Mbits/sec,39.3Mbits/sec,51.4Mbits/sec,52.0Mbits/sec,51.0Mbits/sec,>= 11.00,,,,,,48.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154221.txt,45.6Mbits/sec,53.2Mbits/sec,47.0Mbits/sec,51.7Mbits/sec,50.6Mbits/sec,45.4Mbits/sec,48.7Mbits/sec,50.0Mbits/sec,36.7Mbits/sec,47.0Mbits/sec,46.1Mbits/sec,>= 11.00,,,,,,,,,48.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153835.txt,43.2Mbits/sec,45.8Mbits/sec,47.0Mbits/sec,45.7Mbits/sec,48.4Mbits/sec,48.4Mbits/sec,48.7Mbits/sec,46.8Mbits/sec,47.0Mbits/sec,51.0Mbits/sec,45.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,47.5Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019153558.txt,40.5Mbits/sec,36.3Mbits/sec,41.2Mbits/sec,45.5Mbits/sec,50.2Mbits/sec,43.7Mbits/sec,46.2Mbits/sec,47.9Mbits/sec,51.1Mbits/sec,50.9Mbits/sec,49.1Mbits/sec,>= 11.00,,63.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153954.txt,46.0Mbits/sec,48.5Mbits/sec,43.5Mbits/sec,45.0Mbits/sec,48.2Mbits/sec,41.0Mbits/sec,34.7Mbits/sec,33.9Mbits/sec,44.1Mbits/sec,44.4Mbits/sec,42.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,44.5Mbits/sec,,,,,,,,
iperf3_result_20231019154424.txt,48.3Mbits/sec,49.2Mbits/sec,47.3Mbits/sec,46.0Mbits/sec,47.6Mbits/sec,46.1Mbits/sec,28.0Mbits/sec,47.9Mbits/sec,46.5Mbits/sec,46.6Mbits/sec,47.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,51.6Mbits/sec,,,,,,,
iperf3_result_20231019154829.txt,39.2Mbits/sec,38.6Mbits/sec,47.0Mbits/sec,47.0Mbits/sec,49.1Mbits/sec,50.6Mbits/sec,48.1Mbits/sec,49.3Mbits/sec,50.4Mbits/sec,50.0Mbits/sec,50.4Mbits/sec,>= 11.00,,,,,,69.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154626.txt,46.6Mbits/sec,51.2Mbits/sec,49.9Mbits/sec,44.1Mbits/sec,48.2Mbits/sec,50.9Mbits/sec,52.5Mbits/sec,49.3Mbits/sec,50.8Mbits/sec,51.6Mbits/sec,51.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154401.txt,45.9Mbits/sec,47.5Mbits/sec,46.7Mbits/sec,46.0Mbits/sec,42.1Mbits/sec,44.3Mbits/sec,46.6Mbits/sec,44.4Mbits/sec,41.6Mbits/sec,39.5Mbits/sec,44.5Mbits/sec,>= 11.00,,,,,,,51.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154005.txt,44.7Mbits/sec,44.5Mbits/sec,43.0Mbits/sec,45.8Mbits/sec,45.7Mbits/sec,43.8Mbits/sec,43.8Mbits/sec,31.0Mbits/sec,43.0Mbits/sec,48.9Mbits/sec,49.2Mbits/sec,>= 11.00,,49.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
