file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.01,1.01-2.00
iperf3_result_20231019174146.txt,18.6Mbits/sec,28.9Mbits/sec,23.6Mbits/sec,22.4Mbits/sec,19.7Mbits/sec,24.4Mbits/sec,23.0Mbits/sec,22.4Mbits/sec,23.0Mbits/sec,23.1Mbits/sec,,
iperf3_result_20231019174813.txt,32.7Mbits/sec,24.3Mbits/sec,23.8Mbits/sec,27.6Mbits/sec,23.3Mbits/sec,27.8Mbits/sec,25.0Mbits/sec,38.4Mbits/sec,27.8Mbits/sec,24.2Mbits/sec,,
iperf3_result_20231019173952.txt,24.9Mbits/sec,31.7Mbits/sec,40.6Mbits/sec,26.3Mbits/sec,26.1Mbits/sec,24.5Mbits/sec,24.7Mbits/sec,21.8Mbits/sec,22.5Mbits/sec,24.0Mbits/sec,,
iperf3_result_20231019173921.txt,24.2Mbits/sec,28.7Mbits/sec,29.4Mbits/sec,23.1Mbits/sec,26.1Mbits/sec,24.5Mbits/sec,22.7Mbits/sec,23.4Mbits/sec,17.8Mbits/sec,23.9Mbits/sec,,
iperf3_result_20231019174928.txt,25.6Mbits/sec,26.0Mbits/sec,20.2Mbits/sec,86.9Mbits/sec,87.9Mbits/sec,92.9Mbits/sec,92.3Mbits/sec,95.0Mbits/sec,91.8Mbits/sec,89.0Mbits/sec,,
iperf3_result_20231019175029.txt,48.9Mbits/sec,37.4Mbits/sec,46.0Mbits/sec,45.2Mbits/sec,48.0Mbits/sec,45.7Mbits/sec,42.7Mbits/sec,47.7Mbits/sec,46.8Mbits/sec,48.2Mbits/sec,,
iperf3_result_20231019173840.txt,26.9Mbits/sec,26.5Mbits/sec,54.2Mbits/sec,34.0Mbits/sec,28.1Mbits/sec,26.6Mbits/sec,30.5Mbits/sec,28.5Mbits/sec,26.5Mbits/sec,26.9Mbits/sec,,
iperf3_result_20231019174054.txt,24.1Mbits/sec,29.2Mbits/sec,29.6Mbits/sec,24.6Mbits/sec,24.0Mbits/sec,21.1Mbits/sec,22.7Mbits/sec,23.4Mbits/sec,23.8Mbits/sec,23.6Mbits/sec,,
iperf3_result_20231019174732.txt,28.4Mbits/sec,24.8Mbits/sec,31.3Mbits/sec,36.8Mbits/sec,35.2Mbits/sec,34.0Mbits/sec,39.3Mbits/sec,31.9Mbits/sec,40.5Mbits/sec,25.6Mbits/sec,,
iperf3_result_20231019174524.txt,35.0Mbits/sec,23.9Mbits/sec,23.5Mbits/sec,23.1Mbits/sec,24.3Mbits/sec,23.4Mbits/sec,20.6Mbits/sec,24.1Mbits/sec,22.9Mbits/sec,25.6Mbits/sec,,
iperf3_result_20231019174917.txt,40.5Mbits/sec,39.2Mbits/sec,58.7Mbits/sec,68.3Mbits/sec,46.6Mbits/sec,34.8Mbits/sec,73.1Mbits/sec,41.5Mbits/sec,33.1Mbits/sec,34.7Mbits/sec,,
iperf3_result_20231019174136.txt,25.3Mbits/sec,35.9Mbits/sec,22.8Mbits/sec,24.4Mbits/sec,21.9Mbits/sec,20.0Mbits/sec,28.4Mbits/sec,21.5Mbits/sec,17.1Mbits/sec,15.2Mbits/sec,,
iperf3_result_20231019174320.txt,23.7Mbits/sec,38.8Mbits/sec,29.1Mbits/sec,25.2Mbits/sec,22.2Mbits/sec,21.6Mbits/sec,23.8Mbits/sec,23.8Mbits/sec,20.1Mbits/sec,20.8Mbits/sec,,
iperf3_result_20231019174309.txt,,,31.3Mbits/sec,24.8Mbits/sec,24.8Mbits/sec,21.4Mbits/sec,20.8Mbits/sec,21.0Mbits/sec,23.8Mbits/sec,24.1Mbits/sec,26.4Mbits/sec,46.0Mbits/sec
iperf3_result_20231019174453.txt,39.8Mbits/sec,29.4Mbits/sec,24.6Mbits/sec,23.8Mbits/sec,23.1Mbits/sec,23.7Mbits/sec,23.5Mbits/sec,21.5Mbits/sec,24.0Mbits/sec,22.5Mbits/sec,,
iperf3_result_20231019175201.txt,50.3Mbits/sec,51.6Mbits/sec,49.6Mbits/sec,47.2Mbits/sec,46.8Mbits/sec,42.5Mbits/sec,46.1Mbits/sec,46.4Mbits/sec,49.2Mbits/sec,49.0Mbits/sec,,
iperf3_result_20231019173658.txt,91.5Mbits/sec,91.3Mbits/sec,73.9Mbits/sec,92.8Mbits/sec,86.9Mbits/sec,94.1Mbits/sec,95.8Mbits/sec,92.4Mbits/sec,90.4Mbits/sec,92.7Mbits/sec,,
iperf3_result_20231019173738.txt,92.1Mbits/sec,92.5Mbits/sec,84.9Mbits/sec,38.9Mbits/sec,31.3Mbits/sec,30.4Mbits/sec,29.0Mbits/sec,29.4Mbits/sec,25.7Mbits/sec,26.2Mbits/sec,,
iperf3_result_20231019174906.txt,28.1Mbits/sec,31.3Mbits/sec,23.6Mbits/sec,25.6Mbits/sec,25.9Mbits/sec,36.4Mbits/sec,40.8Mbits/sec,23.9Mbits/sec,38.6Mbits/sec,20.4Mbits/sec,,
iperf3_result_20231019174721.txt,29.2Mbits/sec,23.7Mbits/sec,39.3Mbits/sec,43.6Mbits/sec,31.9Mbits/sec,38.0Mbits/sec,42.7Mbits/sec,41.2Mbits/sec,39.3Mbits/sec,36.3Mbits/sec,,
iperf3_result_20231019173728.txt,91.8Mbits/sec,93.3Mbits/sec,72.7Mbits/sec,91.6Mbits/sec,94.9Mbits/sec,93.9Mbits/sec,97.0Mbits/sec,92.5Mbits/sec,95.6Mbits/sec,90.4Mbits/sec,,
iperf3_result_20231019175211.txt,48.6Mbits/sec,49.7Mbits/sec,48.7Mbits/sec,40.7Mbits/sec,42.8Mbits/sec,42.6Mbits/sec,44.7Mbits/sec,40.8Mbits/sec,45.4Mbits/sec,37.0Mbits/sec,,
iperf3_result_20231019174443.txt,41.6Mbits/sec,34.2Mbits/sec,24.7Mbits/sec,25.8Mbits/sec,23.9Mbits/sec,24.6Mbits/sec,23.5Mbits/sec,24.0Mbits/sec,21.0Mbits/sec,21.4Mbits/sec,,
iperf3_result_20231019174330.txt,30.1Mbits/sec,30.9Mbits/sec,29.1Mbits/sec,27.4Mbits/sec,24.1Mbits/sec,24.2Mbits/sec,21.2Mbits/sec,20.6Mbits/sec,23.3Mbits/sec,21.4Mbits/sec,,
iperf3_result_20231019174126.txt,24.6Mbits/sec,34.1Mbits/sec,29.1Mbits/sec,25.8Mbits/sec,20.7Mbits/sec,22.8Mbits/sec,25.1Mbits/sec,24.3Mbits/sec,24.7Mbits/sec,24.6Mbits/sec,,
iperf3_result_20231019173932.txt,24.5Mbits/sec,31.8Mbits/sec,36.5Mbits/sec,27.3Mbits/sec,23.9Mbits/sec,22.4Mbits/sec,23.4Mbits/sec,24.9Mbits/sec,25.1Mbits/sec,24.0Mbits/sec,,
iperf3_result_20231019174534.txt,39.3Mbits/sec,31.6Mbits/sec,26.3Mbits/sec,42.4Mbits/sec,44.7Mbits/sec,35.2Mbits/sec,28.1Mbits/sec,39.7Mbits/sec,33.0Mbits/sec,25.6Mbits/sec,,
iperf3_result_20231019174044.txt,26.0Mbits/sec,27.4Mbits/sec,39.9Mbits/sec,29.0Mbits/sec,24.3Mbits/sec,24.7Mbits/sec,24.8Mbits/sec,23.1Mbits/sec,23.6Mbits/sec,22.6Mbits/sec,,
iperf3_result_20231019173850.txt,28.1Mbits/sec,26.2Mbits/sec,41.9Mbits/sec,34.1Mbits/sec,29.5Mbits/sec,28.8Mbits/sec,31.2Mbits/sec,28.1Mbits/sec,27.6Mbits/sec,26.9Mbits/sec,,
iperf3_result_20231019175039.txt,50.6Mbits/sec,48.5Mbits/sec,48.0Mbits/sec,47.0Mbits/sec,47.2Mbits/sec,48.2Mbits/sec,49.7Mbits/sec,49.0Mbits/sec,47.6Mbits/sec,49.3Mbits/sec,,
iperf3_result_20231019174938.txt,95.3Mbits/sec,92.2Mbits/sec,94.5Mbits/sec,92.3Mbits/sec,93.2Mbits/sec,92.0Mbits/sec,87.8Mbits/sec,88.6Mbits/sec,89.7Mbits/sec,89.2Mbits/sec,,
iperf3_result_20231019174855.txt,31.9Mbits/sec,26.6Mbits/sec,23.7Mbits/sec,21.9Mbits/sec,22.3Mbits/sec,31.7Mbits/sec,33.6Mbits/sec,34.5Mbits/sec,33.7Mbits/sec,30.9Mbits/sec,,
iperf3_result_20231019175222.txt,41.9Mbits/sec,38.8Mbits/sec,46.0Mbits/sec,46.0Mbits/sec,47.7Mbits/sec,45.9Mbits/sec,46.7Mbits/sec,41.5Mbits/sec,40.8Mbits/sec,47.5Mbits/sec,,
iperf3_result_20231019173647.txt,66.3Mbits/sec,70.3Mbits/sec,67.8Mbits/sec,62.7Mbits/sec,91.5Mbits/sec,90.9Mbits/sec,90.5Mbits/sec,94.9Mbits/sec,87.5Mbits/sec,89.2Mbits/sec,,
iperf3_result_20231019175008.txt,52.1Mbits/sec,47.7Mbits/sec,47.5Mbits/sec,48.5Mbits/sec,47.6Mbits/sec,48.0Mbits/sec,48.0Mbits/sec,45.8Mbits/sec,48.9Mbits/sec,49.9Mbits/sec,,
iperf3_result_20231019174115.txt,24.6Mbits/sec,38.7Mbits/sec,34.4Mbits/sec,27.2Mbits/sec,23.4Mbits/sec,24.5Mbits/sec,23.2Mbits/sec,23.8Mbits/sec,22.7Mbits/sec,24.0Mbits/sec,,
iperf3_result_20231019173901.txt,28.3Mbits/sec,35.9Mbits/sec,50.8Mbits/sec,33.8Mbits/sec,29.1Mbits/sec,30.1Mbits/sec,28.9Mbits/sec,27.9Mbits/sec,26.5Mbits/sec,27.2Mbits/sec,,
iperf3_result_20231019175141.txt,49.2Mbits/sec,49.1Mbits/sec,45.9Mbits/sec,40.8Mbits/sec,30.3Mbits/sec,35.0Mbits/sec,37.2Mbits/sec,37.9Mbits/sec,34.7Mbits/sec,38.1Mbits/sec,,
iperf3_result_20231019174249.txt,23.5Mbits/sec,36.1Mbits/sec,23.0Mbits/sec,26.7Mbits/sec,23.4Mbits/sec,25.0Mbits/sec,23.1Mbits/sec,24.4Mbits/sec,23.0Mbits/sec,22.3Mbits/sec,,
iperf3_result_20231019174711.txt,31.6Mbits/sec,27.7Mbits/sec,23.0Mbits/sec,25.0Mbits/sec,24.7Mbits/sec,36.8Mbits/sec,42.3Mbits/sec,27.3Mbits/sec,22.4Mbits/sec,22.9Mbits/sec,,
iperf3_result_20231019173718.txt,91.2Mbits/sec,90.0Mbits/sec,86.7Mbits/sec,84.9Mbits/sec,85.3Mbits/sec,87.0Mbits/sec,86.9Mbits/sec,88.2Mbits/sec,91.0Mbits/sec,92.5Mbits/sec,,
iperf3_result_20231019174700.txt,25.3Mbits/sec,24.0Mbits/sec,24.9Mbits/sec,23.0Mbits/sec,23.6Mbits/sec,37.9Mbits/sec,42.6Mbits/sec,34.6Mbits/sec,35.6Mbits/sec,39.1Mbits/sec,,
iperf3_result_20231019174649.txt,27.7Mbits/sec,21.7Mbits/sec,23.4Mbits/sec,25.2Mbits/sec,23.3Mbits/sec,37.4Mbits/sec,43.3Mbits/sec,44.6Mbits/sec,39.5Mbits/sec,41.7Mbits/sec,,
iperf3_result_20231019173708.txt,88.1Mbits/sec,94.1Mbits/sec,91.0Mbits/sec,94.8Mbits/sec,93.3Mbits/sec,94.8Mbits/sec,90.7Mbits/sec,91.8Mbits/sec,83.0Mbits/sec,82.7Mbits/sec,,
