file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.27,11.00-11.01,11.00-11.07,11.00-11.13,11.00-11.02,11.00-11.08,11.00-11.17,11.00-11.04,11.00-11.52,11.00-11.00,11.00-11.35,11.00-11.16,11.00-11.47,11.00-11.23,11.00-11.09,11.00-11.03
iperf3_result_20231019183221.txt,38.9Mbits/sec,44.3Mbits/sec,49.8Mbits/sec,45.1Mbits/sec,51.1Mbits/sec,49.9Mbits/sec,50.7Mbits/sec,48.4Mbits/sec,51.8Mbits/sec,49.8Mbits/sec,25.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,53.2Mbits/sec,,,
iperf3_result_20231019183210.txt,44.7Mbits/sec,47.1Mbits/sec,50.2Mbits/sec,44.6Mbits/sec,46.0Mbits/sec,43.8Mbits/sec,50.2Mbits/sec,47.9Mbits/sec,48.2Mbits/sec,48.8Mbits/sec,49.2Mbits/sec,>= 11.00,,,,,,,,,,39.9Mbits/sec,,,,,,,,
iperf3_result_20231019182913.txt,47.4Mbits/sec,51.1Mbits/sec,50.2Mbits/sec,48.7Mbits/sec,49.9Mbits/sec,51.9Mbits/sec,51.0Mbits/sec,52.1Mbits/sec,51.7Mbits/sec,53.4Mbits/sec,56.4Mbits/sec,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182734.txt,50.9Mbits/sec,47.7Mbits/sec,52.8Mbits/sec,51.0Mbits/sec,52.4Mbits/sec,53.6Mbits/sec,52.7Mbits/sec,55.1Mbits/sec,53.7Mbits/sec,52.3Mbits/sec,56.4Mbits/sec,10.96,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183827.txt,46.6Mbits/sec,49.8Mbits/sec,52.9Mbits/sec,51.0Mbits/sec,44.1Mbits/sec,49.3Mbits/sec,53.0Mbits/sec,50.1Mbits/sec,55.1Mbits/sec,53.1Mbits/sec,55.4Mbits/sec,10.95,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183614.txt,51.5Mbits/sec,52.6Mbits/sec,54.7Mbits/sec,54.9Mbits/sec,53.0Mbits/sec,52.5Mbits/sec,53.3Mbits/sec,53.5Mbits/sec,49.0Mbits/sec,53.8Mbits/sec,53.9Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183401.txt,34.1Mbits/sec,50.8Mbits/sec,44.4Mbits/sec,54.3Mbits/sec,50.5Mbits/sec,54.3Mbits/sec,55.3Mbits/sec,51.6Mbits/sec,51.9Mbits/sec,52.3Mbits/sec,52.6Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182723.txt,48.1Mbits/sec,54.1Mbits/sec,53.9Mbits/sec,53.4Mbits/sec,55.3Mbits/sec,56.0Mbits/sec,52.0Mbits/sec,54.5Mbits/sec,43.5Mbits/sec,39.3Mbits/sec,53.1Mbits/sec,10.99,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183603.txt,50.3Mbits/sec,52.0Mbits/sec,49.2Mbits/sec,52.7Mbits/sec,54.5Mbits/sec,47.7Mbits/sec,49.1Mbits/sec,51.2Mbits/sec,53.1Mbits/sec,52.4Mbits/sec,52.3Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183159.txt,42.0Mbits/sec,46.1Mbits/sec,40.4Mbits/sec,51.5Mbits/sec,48.0Mbits/sec,50.5Mbits/sec,48.3Mbits/sec,52.4Mbits/sec,52.5Mbits/sec,52.9Mbits/sec,53.6Mbits/sec,10.96,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182521.txt,44.4Mbits/sec,47.5Mbits/sec,51.7Mbits/sec,53.7Mbits/sec,51.5Mbits/sec,51.7Mbits/sec,49.9Mbits/sec,52.6Mbits/sec,49.6Mbits/sec,51.1Mbits/sec,40.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,46.3Mbits/sec,,
iperf3_result_20231019183148.txt,44.7Mbits/sec,52.1Mbits/sec,53.5Mbits/sec,52.0Mbits/sec,50.0Mbits/sec,52.3Mbits/sec,51.7Mbits/sec,52.5Mbits/sec,53.1Mbits/sec,50.9Mbits/sec,53.6Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182532.txt,43.1Mbits/sec,45.8Mbits/sec,47.1Mbits/sec,47.5Mbits/sec,43.3Mbits/sec,48.6Mbits/sec,51.7Mbits/sec,45.7Mbits/sec,52.8Mbits/sec,51.5Mbits/sec,52.6Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183412.txt,53.2Mbits/sec,53.7Mbits/sec,49.2Mbits/sec,51.5Mbits/sec,54.0Mbits/sec,53.6Mbits/sec,55.0Mbits/sec,52.8Mbits/sec,50.8Mbits/sec,47.8Mbits/sec,49.5Mbits/sec,>= 11.00,46.4Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019182446.txt,19.8Mbits/sec,44.8Mbits/sec,44.6Mbits/sec,46.2Mbits/sec,48.3Mbits/sec,45.6Mbits/sec,46.5Mbits/sec,49.2Mbits/sec,59.6Mbits/sec,101Mbits/sec,105Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182902.txt,39.7Mbits/sec,48.6Mbits/sec,50.3Mbits/sec,53.0Mbits/sec,51.2Mbits/sec,50.3Mbits/sec,52.8Mbits/sec,53.5Mbits/sec,49.6Mbits/sec,51.1Mbits/sec,52.8Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182554.txt,38.7Mbits/sec,42.7Mbits/sec,45.3Mbits/sec,44.8Mbits/sec,43.8Mbits/sec,48.2Mbits/sec,42.4Mbits/sec,35.4Mbits/sec,47.0Mbits/sec,50.8Mbits/sec,49.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183104.txt,40.2Mbits/sec,45.5Mbits/sec,46.0Mbits/sec,46.2Mbits/sec,48.8Mbits/sec,48.8Mbits/sec,49.0Mbits/sec,48.3Mbits/sec,49.1Mbits/sec,48.3Mbits/sec,49.9Mbits/sec,>= 11.00,,,,,,,52.2Mbits/sec,,,,,,,,,,,
iperf3_result_20231019182756.txt,46.0Mbits/sec,49.4Mbits/sec,49.4Mbits/sec,51.0Mbits/sec,52.7Mbits/sec,43.0Mbits/sec,54.3Mbits/sec,51.8Mbits/sec,53.8Mbits/sec,55.7Mbits/sec,55.4Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183306.txt,40.6Mbits/sec,44.7Mbits/sec,42.2Mbits/sec,46.9Mbits/sec,50.9Mbits/sec,48.1Mbits/sec,50.2Mbits/sec,52.0Mbits/sec,48.6Mbits/sec,51.5Mbits/sec,53.4Mbits/sec,10.91,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182543.txt,43.9Mbits/sec,48.1Mbits/sec,52.1Mbits/sec,52.2Mbits/sec,50.6Mbits/sec,51.4Mbits/sec,53.8Mbits/sec,53.9Mbits/sec,53.2Mbits/sec,51.8Mbits/sec,50.6Mbits/sec,>= 11.00,57.9Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019183339.txt,39.0Mbits/sec,46.6Mbits/sec,44.9Mbits/sec,47.6Mbits/sec,48.5Mbits/sec,49.3Mbits/sec,49.7Mbits/sec,46.1Mbits/sec,53.0Mbits/sec,50.1Mbits/sec,49.0Mbits/sec,>= 11.00,,,,,,,53.1Mbits/sec,,,,,,,,,,,
iperf3_result_20231019182807.txt,41.3Mbits/sec,46.7Mbits/sec,46.7Mbits/sec,46.6Mbits/sec,47.6Mbits/sec,48.6Mbits/sec,49.1Mbits/sec,49.8Mbits/sec,54.5Mbits/sec,54.5Mbits/sec,51.9Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183648.txt,44.5Mbits/sec,46.3Mbits/sec,50.4Mbits/sec,52.5Mbits/sec,53.1Mbits/sec,53.4Mbits/sec,52.5Mbits/sec,51.8Mbits/sec,54.0Mbits/sec,54.8Mbits/sec,53.1Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183328.txt,37.0Mbits/sec,45.2Mbits/sec,49.7Mbits/sec,32.7Mbits/sec,48.9Mbits/sec,50.0Mbits/sec,51.3Mbits/sec,49.2Mbits/sec,52.3Mbits/sec,50.4Mbits/sec,50.7Mbits/sec,>= 11.00,,,,73.8Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019183710.txt,52.2Mbits/sec,53.0Mbits/sec,53.4Mbits/sec,43.3Mbits/sec,52.2Mbits/sec,52.4Mbits/sec,52.5Mbits/sec,47.9Mbits/sec,55.1Mbits/sec,53.2Mbits/sec,54.2Mbits/sec,10.96,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183507.txt,47.6Mbits/sec,52.5Mbits/sec,52.7Mbits/sec,48.9Mbits/sec,53.6Mbits/sec,51.6Mbits/sec,51.2Mbits/sec,50.4Mbits/sec,52.8Mbits/sec,53.4Mbits/sec,47.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,37.6Mbits/sec,
iperf3_result_20231019182745.txt,34.3Mbits/sec,41.8Mbits/sec,44.9Mbits/sec,51.1Mbits/sec,50.0Mbits/sec,50.3Mbits/sec,50.3Mbits/sec,51.5Mbits/sec,51.3Mbits/sec,49.5Mbits/sec,54.2Mbits/sec,10.99,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183659.txt,51.9Mbits/sec,53.0Mbits/sec,51.6Mbits/sec,47.5Mbits/sec,47.1Mbits/sec,43.6Mbits/sec,50.7Mbits/sec,49.8Mbits/sec,46.9Mbits/sec,44.0Mbits/sec,48.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,47.2Mbits/sec,
iperf3_result_20231019183115.txt,43.3Mbits/sec,48.6Mbits/sec,46.7Mbits/sec,49.3Mbits/sec,51.7Mbits/sec,46.5Mbits/sec,47.5Mbits/sec,52.0Mbits/sec,51.6Mbits/sec,50.5Mbits/sec,48.5Mbits/sec,>= 11.00,,,,,,,,,,54.6Mbits/sec,,,,,,,,
iperf3_result_20231019183317.txt,47.0Mbits/sec,49.0Mbits/sec,48.1Mbits/sec,50.1Mbits/sec,46.6Mbits/sec,51.1Mbits/sec,47.5Mbits/sec,46.9Mbits/sec,51.7Mbits/sec,51.2Mbits/sec,50.5Mbits/sec,>= 11.00,,,,,,,35.0Mbits/sec,,,,,,,,,,,
iperf3_result_20231019182627.txt,37.8Mbits/sec,46.7Mbits/sec,49.7Mbits/sec,50.1Mbits/sec,39.8Mbits/sec,49.4Mbits/sec,49.9Mbits/sec,51.7Mbits/sec,55.9Mbits/sec,50.5Mbits/sec,52.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,34.5Mbits/sec
iperf3_result_20231019182829.txt,44.8Mbits/sec,46.6Mbits/sec,39.2Mbits/sec,47.6Mbits/sec,48.1Mbits/sec,50.3Mbits/sec,49.6Mbits/sec,49.7Mbits/sec,48.2Mbits/sec,51.5Mbits/sec,52.0Mbits/sec,10.93,,,,,,,,,,,,,,,,,,
