file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.19,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.02,11.00-11.06,11.00-11.12,11.00-11.25,11.00-11.09,11.00-11.15,11.00-12.00,12.00-12.54,11.00-11.14,11.00-11.07,11.00-11.01,11.00-11.11,11.00-11.08,11.00-11.03,11.00-11.18,11.00-11.16,11.00-11.22,11.00-11.21,11.00-11.49,11.00-11.30,11.00-11.26,11.00-11.17,11.00-11.38,11.00-11.37,11.00-11.24,11.00-11.10,11.00-11.13,11.00-11.52
iperf3_result_20231019155031.txt,41.2Mbits/sec,46.7Mbits/sec,49.1Mbits/sec,47.4Mbits/sec,51.1Mbits/sec,50.2Mbits/sec,46.0Mbits/sec,46.9Mbits/sec,47.3Mbits/sec,43.5Mbits/sec,44.1Mbits/sec,>= 11.00,,,,,,,,,,49.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153520.txt,92.1Mbits/sec,98.2Mbits/sec,88.9Mbits/sec,86.6Mbits/sec,94.7Mbits/sec,50.2Mbits/sec,47.0Mbits/sec,48.1Mbits/sec,51.1Mbits/sec,48.1Mbits/sec,38.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5Mbits/sec,,,
iperf3_result_20231019154924.txt,47.0Mbits/sec,50.7Mbits/sec,51.6Mbits/sec,47.6Mbits/sec,49.3Mbits/sec,41.7Mbits/sec,51.7Mbits/sec,45.5Mbits/sec,49.1Mbits/sec,50.8Mbits/sec,49.2Mbits/sec,>= 11.00,,,,,,41.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153535.txt,40.1Mbits/sec,46.7Mbits/sec,46.8Mbits/sec,45.6Mbits/sec,45.5Mbits/sec,50.3Mbits/sec,46.1Mbits/sec,46.2Mbits/sec,40.7Mbits/sec,35.6Mbits/sec,48.8Mbits/sec,>= 11.00,,,,41.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153509.txt,91.7Mbits/sec,91.8Mbits/sec,87.6Mbits/sec,75.5Mbits/sec,74.9Mbits/sec,91.7Mbits/sec,89.4Mbits/sec,94.8Mbits/sec,98.2Mbits/sec,84.8Mbits/sec,96.6Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,117Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019154306.txt,46.9Mbits/sec,49.0Mbits/sec,47.6Mbits/sec,50.5Mbits/sec,51.7Mbits/sec,48.9Mbits/sec,49.3Mbits/sec,45.1Mbits/sec,47.3Mbits/sec,45.2Mbits/sec,47.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3Mbits/sec,,
iperf3_result_20231019153858.txt,45.9Mbits/sec,35.5Mbits/sec,46.1Mbits/sec,46.8Mbits/sec,41.8Mbits/sec,45.5Mbits/sec,47.2Mbits/sec,46.1Mbits/sec,50.0Mbits/sec,45.7Mbits/sec,46.6Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,53.4Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019154851.txt,44.6Mbits/sec,50.1Mbits/sec,47.9Mbits/sec,48.9Mbits/sec,48.8Mbits/sec,49.3Mbits/sec,49.7Mbits/sec,48.4Mbits/sec,39.0Mbits/sec,50.2Mbits/sec,46.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0Mbits/sec,
iperf3_result_20231019153643.txt,47.0Mbits/sec,23.6Mbits/sec,14.7Mbits/sec,26.5Mbits/sec,45.2Mbits/sec,45.4Mbits/sec,47.7Mbits/sec,50.1Mbits/sec,48.3Mbits/sec,45.4Mbits/sec,49.5Mbits/sec,>= 11.00,,,,46.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155020.txt,43.0Mbits/sec,43.9Mbits/sec,42.7Mbits/sec,43.8Mbits/sec,44.2Mbits/sec,47.0Mbits/sec,48.0Mbits/sec,49.6Mbits/sec,49.7Mbits/sec,38.4Mbits/sec,24.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4Mbits/sec
iperf3_result_20231019154935.txt,47.9Mbits/sec,50.6Mbits/sec,51.7Mbits/sec,50.5Mbits/sec,51.0Mbits/sec,52.2Mbits/sec,51.2Mbits/sec,49.4Mbits/sec,49.3Mbits/sec,49.4Mbits/sec,46.4Mbits/sec,>= 11.00,,,,,,,,,42.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154049.txt,43.2Mbits/sec,50.2Mbits/sec,51.5Mbits/sec,47.3Mbits/sec,48.7Mbits/sec,50.4Mbits/sec,50.3Mbits/sec,48.1Mbits/sec,48.6Mbits/sec,47.9Mbits/sec,33.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,49.7Mbits/sec,,,,,,,,
iperf3_result_20231019155009.txt,31.9Mbits/sec,49.0Mbits/sec,47.7Mbits/sec,50.1Mbits/sec,48.9Mbits/sec,49.0Mbits/sec,49.6Mbits/sec,49.0Mbits/sec,47.3Mbits/sec,50.5Mbits/sec,47.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0Mbits/sec,,
iperf3_result_20231019154317.txt,48.6Mbits/sec,52.4Mbits/sec,48.0Mbits/sec,49.7Mbits/sec,52.8Mbits/sec,47.5Mbits/sec,40.1Mbits/sec,48.8Mbits/sec,50.2Mbits/sec,46.5Mbits/sec,50.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,78.8Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019154840.txt,44.6Mbits/sec,49.5Mbits/sec,47.7Mbits/sec,47.8Mbits/sec,48.2Mbits/sec,45.7Mbits/sec,49.2Mbits/sec,50.2Mbits/sec,47.8Mbits/sec,48.8Mbits/sec,47.6Mbits/sec,>= 11.00,,53.0Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154101.txt,45.2Mbits/sec,36.7Mbits/sec,39.8Mbits/sec,47.7Mbits/sec,44.2Mbits/sec,43.0Mbits/sec,42.8Mbits/sec,43.7Mbits/sec,44.1Mbits/sec,49.2Mbits/sec,49.7Mbits/sec,>= 11.00,,43.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154659.txt,34.2Mbits/sec,45.2Mbits/sec,49.2Mbits/sec,43.2Mbits/sec,45.8Mbits/sec,45.7Mbits/sec,43.8Mbits/sec,45.9Mbits/sec,49.1Mbits/sec,43.3Mbits/sec,43.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,42.2Mbits/sec,,,,,,,,,,,,
iperf3_result_20231019154711.txt,50.0Mbits/sec,46.0Mbits/sec,38.9Mbits/sec,48.0Mbits/sec,47.4Mbits/sec,43.8Mbits/sec,45.3Mbits/sec,47.7Mbits/sec,48.5Mbits/sec,48.3Mbits/sec,49.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,43.8Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019153447.txt,86.1Mbits/sec,89.9Mbits/sec,101Mbits/sec,98.8Mbits/sec,93.1Mbits/sec,94.7Mbits/sec,96.0Mbits/sec,89.5Mbits/sec,94.6Mbits/sec,83.7Mbits/sec,104Mbits/sec,10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154328.txt,43.7Mbits/sec,23.5Mbits/sec,44.2Mbits/sec,48.6Mbits/sec,43.7Mbits/sec,46.9Mbits/sec,47.6Mbits/sec,43.6Mbits/sec,48.0Mbits/sec,50.1Mbits/sec,46.1Mbits/sec,>= 11.00,,,,,,,,,55.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
